,Seq_ID	CDC1_Hap_1	CDC1_Hap_2	CDC1_Hap_3	CDC1_Hap_4	CDC2_Hap_1	CDC2_Hap_2	CDC2_Hap_3	CDC2_Hap_4	CDC3_Hap_1	CDC3_Hap_2	CDC3_Hap_3	CDC3_Hap_4	CDC4_Hap_1	CDC4_Hap_2	CDC4_Hap_3	CDC4_Hap_4	378_PART_A_Hap_1	378_PART_A_Hap_2	378_PART_A_Hap_3	378_PART_A_Hap_4	378_PART_A_Hap_5	378_PART_A_Hap_6	378_PART_A_Hap_7	378_PART_A_Hap_8	378_PART_A_Hap_9	378_PART_A_Hap_10	378_PART_B_Hap_1	378_PART_B_Hap_2	378_PART_B_Hap_3	378_PART_B_Hap_4	378_PART_B_Hap_5	378_PART_B_Hap_6	378_PART_C_Hap_1	378_PART_C_Hap_2	378_PART_C_Hap_3	378_PART_C_Hap_4	378_PART_C_Hap_5	378_PART_C_Hap_6	378_PART_C_Hap_7	378_PART_C_Hap_8	360i2_PART_A_Hap_1	360i2_PART_A_Hap_2	360i2_PART_A_Hap_3	360i2_PART_A_Hap_4	360i2_PART_A_Hap_5	360i2_PART_A_Hap_6	360i2_PART_B_Hap_1	360i2_PART_B_Hap_2	360i2_PART_B_Hap_3	360i2_PART_B_Hap_4	360i2_PART_B_Hap_5	360i2_PART_B_Hap_6	360i2_PART_B_Hap_7	360i2_PART_B_Hap_8	360i2_PART_B_Hap_9	360i2_PART_B_Hap_10	360i2_PART_C_Hap_1	360i2_PART_C_Hap_2	360i2_PART_C_Hap_3	360i2_PART_C_Hap_4	360i2_PART_C_Hap_5	360i2_PART_C_Hap_6	360i2_PART_C_Hap_7	360i2_PART_C_Hap_8	360i2_PART_D_Hap_1	360i2_PART_D_Hap_2	360i2_PART_D_Hap_3	360i2_PART_D_Hap_4	360i2_PART_D_Hap_5	360i2_PART_D_Hap_6	Junction_Hap_1	Junction_Hap_2	Junction_Hap_3	Junction_Hap_4	Junction_Hap_5	Junction_Hap_6	Junction_Hap_7	Junction_Hap_8	Junction_Hap_9	Junction_Hap_10	Junction_Hap_11	Junction_Hap_12	Junction_Hap_13	Junction_Hap_14	Junction_Hap_15	Junction_Hap_16	Junction_Hap_17	Junction_Hap_18	Junction_Hap_19	Junction_Hap_20	Junction_Hap_21	Junction_Hap_22	Junction_Hap_23	Junction_Hap_24	MSR_Left_Hap_1	MSR_Left_Hap_2	MSR_Left_Hap_3	MSR_Left_Hap_4	MSR_Left_Hap_5	MSR_Left_Hap_6	MSR_Left_Hap_7	MSR_Left_Hap_8	MSR_Right_Hap_1	MSR_Right_Hap_2	MSR_Right_Hap_3	MSR_Right_Hap_4	MSR_Right_Hap_5	MSR_Right_Hap_6	MSR_Right_Hap_7	MSR_Right_Hap_8
0,C_CA003_18	X				X					X			X					X		X								X					X	X	X							X						X	X	X									X	X						X																X														X							X							
1,C_IA004_18						X			X												X	X						X							X						X						X										X	X							X								X																						X									X						
2,C_IA005_18					X					X									X	X							X	X					X		X							X						X	X	X									X	X						X							X																						X									X						
3,C_IA006_18					X					X				X																												X						X											X							X							X																						X									X						
4,C_IA007_18					X				X									X		X								X					X	X	X						X						X										X	X							X													X																	X								X							
5,C_IA008_18						X				X									X	X							X	X					X		X							X						X	X	X									X	X						X							X																						X									X						
6,C_IA010_18																																																																									X																						X									X						
7,C_IA011_18					X					X									X	X							X	X					X		X							X							X											X						X							X																						X									X						
8,C_IA009_18		X				X				X				X					X	X							X	X					X		X							X						X	X	X									X	X						X																													X									X						
9,C_IA014_18					X					X									X	X							X	X					X		X							X							X											X						X							X																						X								X	X						
10,C_IA013_18					X				X									X		X								X					X	X	X						X						X										X	X							X													X																	X								X							
11,C_IA012_18																																																																									X																						X									X						
12,C_IA015_18																																																																									X																						X									X						
13,C_IA016_18		X				X				X				X					X	X							X	X					X		X							X						X	X	X									X	X						X							X																						X									X						
14,C_IA018_18	X				X				X									X		X								X					X	X	X						X						X										X	X							X													X																	X								X							
15,C_IA017_18		X			X					X				X					X									X						X		X						X						X	X	X	X								X	X						X													X																		X							X						
16,C_IA019_18						X				X									X								X								X																																						X																						X									X						
17,C_IA020_18					X														X								X								X							X							X											X						X							X																						X									X						
18,C_IA021_18																																																																																																	X							X						
19,C_IA022_18																																																																																																X							X							
20,C_IA023_18		X																									X																																														X																						X									X						
21,C_IA055_18					X				X											X								X					X								X						X										X	X							X													X																		X							X							
22,C_IA027_18										X																																X							X											X						X							X																						X									X						
23,C_IA025_18					X																																				X						X										X								X																						X								X								X							
24,C_IA026_18																																																																																							X								X															
25,C_IA028_18																																										X							X											X						X							X					X																	X									X						
26,C_IA057_18		X												X																																																																									X								X								X							
27,C_IA024_18									X										X	X							X	X					X		X						X						X										X	X							X									X																							X							X						
28,C_IA029_18									X											X								X					X																																													X																	X								X							
29,C_IA058_18		X			X				X					X						X			X					X					X	X	X						X						X										X	X							X																														X								X							
30,C_IA059_18	X				X				X				X																												X						X										X								X													X																	X								X							
31,C_IA050_18		X			X				X					X						X			X					X					X	X	X						X						X										X	X							X																														X								X							
32,C_IA051_18	X				X				X				X	X									X					X						X							X						X										X	X							X													X									X								X								X							
33,C_IA052_18		X			X				X					X						X			X					X					X	X	X						X						X										X	X							X																						X								X								X							
34,C_IA053_18									X					X																																																																																	X								X							
35,C_IA054_18		X				X			X					X								X						X							X						X						X										X	X							X						X		X																						X									X						
36,C_IA040_18		X			X				X					X						X			X					X					X	X	X						X						X										X	X							X																						X								X								X							
37,C_IA041_18																				X								X					X								X						X										X								X																														X								X							
38,C_IA042_18	X				X				X				X					X		X								X					X	X	X												X										X	X							X													X																	X								X							
39,C_IA043_18					X				X														X					X						X																																												X																	X								X							
40,C_IA044_18		X			X				X					X						X			X					X					X	X	X						X						X										X	X							X																						X								X								X							
41,C_IA030_18		X							X											X			X					X					X	X	X						X						X										X	X							X																														X								X							
42,C_IA031_18					X															X			X					X					X	X							X						X										X								X																						X								X								X							
43,C_IA033_18		X																																																																																					X																							
44,C_IA034_18		X			X				X											X			X					X					X	X	X						X						X										X	X							X																						X								X								X							
45,C_IA035_18		X			X				X											X			X					X					X	X	X						X						X										X	X							X																						X								X								X							
46,C_IA036_18		X			X				X											X			X					X					X	X	X						X						X										X	X							X																						X								X								X							
47,C_IA037_18																							X					X						X																																																													X								X							
48,C_IA038_18		X							X				X					X		X			X					X					X	X	X						X						X										X	X							X													X																	X								X							
49,C_IA039_18					X				X					X						X			X					X					X	X	X						X						X										X	X							X																						X								X								X							
50,C_IA045_18									X					X						X			X					X					X	X	X						X						X										X	X							X																														X								X							
51,C_IA046_18		X				X			X					X								X						X													X						X										X	X							X						X		X																						X									X						
52,C_IA047_18		X			X				X											X								X					X								X						X										X	X							X													X																		X							X							
53,C_IA048_18					X				X											X			X					X					X	X	X						X						X										X	X							X																						X								X								X							
54,C_IA063_18		X			X				X					X						X								X					X	X							X						X										X	X							X																						X								X								X							
55,C_IA049_18		X							X					X						X								X					X																																																						X								X	X							X							
56,C_IA061_18																																																																																		X													X									X						
57,C_IA071_18																																																																																							X								X								X							
58,C_IA068_18		X			X				X					X						X			X					X					X	X	X						X						X										X	X							X																						X								X								X							
59,C_IA069_18		X			X				X					X						X			X					X					X	X	X						X						X										X	X							X																						X								X								X							
60,C_IA070_18		X			X				X					X						X			X					X					X	X	X						X						X										X	X							X																						X								X								X							
61,C_IA078_18					X				X					X						X			X					X					X	X	X						X						X										X	X							X																														X								X							
62,C_IA065_18		X			X				X				X								X	X						X							X						X						X										X	X							X																	X													X								X							
63,C_IA066_18		X				X								X							X							X							X						X						X										X	X							X								X																						X									X						
64,C_IA076_18					X				X											X								X					X								X						X										X	X							X																						X								X								X							
65,C_IA077_18		X			X				X					X						X			X					X					X	X	X						X						X										X	X							X																														X								X							
66,C_IA075_18		X			X				X					X						X			X					X					X	X	X						X						X										X	X							X																						X								X								X							
67,C_IA062_18		X			X				X					X									X					X						X							X						X										X	X							X																						X								X								X							
68,C_IA081_18																																																																																							X																							
69,C_IA082_18		X			X				X											X			X					X					X	X							X						X										X	X							X																														X								X							
70,C_IA084_18		X												X							X							X													X						X											X							X								X																						X									X						
71,C_IA083_18		X			X				X					X						X			X					X					X	X							X						X										X	X							X																														X								X							
72,C_IA072_18																																																																																							X								X								X							
73,C_IA074_18																																																																																							X								X								X							
74,C_IA073_18																																																																																							X																							
75,C_IA067_18						X																																																																			X																						X									X						
76,C_IA080_18																		X										X					X								X						X										X	X							X																		X												X									X						
77,C_IA086_18					X															X			X					X					X	X	X						X						X										X	X							X																						X								X								X							
78,C_IA064_18		X			X				X					X						X			X					X					X	X	X						X						X										X	X							X																						X								X								X							
79,C_IA079_18																																																																																							X								X								X							
80,C_IA085_18					X				X											X			X					X					X	X							X						X										X	X							X																						X								X								X							
81,C_IA087_18		X			X				X											X			X					X					X	X	X						X						X										X	X							X																						X								X								X							
82,C_IA092_18		X			X				X					X						X			X					X					X	X	X						X						X										X	X							X																						X								X								X							
83,C_IA091_18		X			X				X					X						X			X					X					X	X	X						X						X										X	X							X																						X								X								X							
84,C_IA089_18																																																																														X																	X								X							
85,C_IA090_18		X				X			X					X							X	X						X							X						X						X										X	X							X								X																						X									X						
86,C_IA060_18					X				X					X																											X						X										X	X							X																														X								X							
87,C_IA096_18																																																																																							X																							
88,C_IA088_18																																									X						X										X								X																						X								X								X							
89,C_IA101_18																																																																									X																						X															
90,C_IA099_18		X			X				X											X			X					X					X	X							X						X										X	X							X																						X								X								X							
91,C_IA122_18																																																																																							X																							
92,C_IA120_18																																																																																							X																							
93,C_IA121_18																				X								X						X							X						X										X	X							X																														X								X							
94,C_IA123_18																																																																																							X								X															
95,C_IA118_18																																																																																							X								X															
96,C_IA124_18																																																																																							X								X															
97,C_IA104_18		X			X				X					X						X			X					X					X	X	X						X						X										X	X							X																						X								X								X							
